,Gender,Ethnicity,Child's First Name
0,FEMALE,ASIAN AND PACIFIC ISLANDER,SOPHIA
1,FEMALE,ASIAN AND PACIFIC ISLANDER,CHLOE
2,FEMALE,ASIAN AND PACIFIC ISLANDER,EMILY
3,FEMALE,ASIAN AND PACIFIC ISLANDER,OLIVIA
4,FEMALE,ASIAN AND PACIFIC ISLANDER,EMMA
5,FEMALE,ASIAN AND PACIFIC ISLANDER,ISABELLA
6,FEMALE,ASIAN AND PACIFIC ISLANDER,TIFFANY
7,FEMALE,ASIAN AND PACIFIC ISLANDER,ASHLEY
8,FEMALE,ASIAN AND PACIFIC ISLANDER,FIONA
9,FEMALE,ASIAN AND PACIFIC ISLANDER,ANGELA
10,FEMALE,ASIAN AND PACIFIC ISLANDER,VIVIAN
11,FEMALE,ASIAN AND PACIFIC ISLANDER,MICHELLE
12,FEMALE,ASIAN AND PACIFIC ISLANDER,JOANNA
13,FEMALE,ASIAN AND PACIFIC ISLANDER,SARAH
14,FEMALE,ASIAN AND PACIFIC ISLANDER,MIA
15,FEMALE,ASIAN AND PACIFIC ISLANDER,IVY
16,FEMALE,ASIAN AND PACIFIC ISLANDER,GRACE
17,FEMALE,ASIAN AND PACIFIC ISLANDER,NICOLE
18,FEMALE,ASIAN AND PACIFIC ISLANDER,VICKY
19,FEMALE,ASIAN AND PACIFIC ISLANDER,JASMINE
20,FEMALE,ASIAN AND PACIFIC ISLANDER,ANNA
21,FEMALE,ASIAN AND PACIFIC ISLANDER,ELAINE
22,FEMALE,ASIAN AND PACIFIC ISLANDER,ALICE
23,FEMALE,ASIAN AND PACIFIC ISLANDER,CATHERINE
24,FEMALE,ASIAN AND PACIFIC ISLANDER,CLAIRE
25,FEMALE,ASIAN AND PACIFIC ISLANDER,JENNY
26,FEMALE,ASIAN AND PACIFIC ISLANDER,MAYA
27,FEMALE,ASIAN AND PACIFIC ISLANDER,ALYSSA
28,FEMALE,ASIAN AND PACIFIC ISLANDER,ANGELINA
29,FEMALE,ASIAN AND PACIFIC ISLANDER,IRIS
30,FEMALE,ASIAN AND PACIFIC ISLANDER,JESSICA
31,FEMALE,ASIAN AND PACIFIC ISLANDER,SELINA
