Gender,Ethnicity,Child's First Name
FEMALE,ASIAN AND PACIFIC ISLANDER,SOPHIA
FEMALE,ASIAN AND PACIFIC ISLANDER,CHLOE
FEMALE,ASIAN AND PACIFIC ISLANDER,EMILY
FEMALE,ASIAN AND PACIFIC ISLANDER,OLIVIA
FEMALE,ASIAN AND PACIFIC ISLANDER,EMMA
FEMALE,ASIAN AND PACIFIC ISLANDER,ISABELLA
FEMALE,ASIAN AND PACIFIC ISLANDER,TIFFANY
FEMALE,ASIAN AND PACIFIC ISLANDER,ASHLEY
FEMALE,ASIAN AND PACIFIC ISLANDER,FIONA
FEMALE,ASIAN AND PACIFIC ISLANDER,ANGELA
FEMALE,ASIAN AND PACIFIC ISLANDER,VIVIAN
FEMALE,ASIAN AND PACIFIC ISLANDER,MICHELLE
FEMALE,ASIAN AND PACIFIC ISLANDER,JOANNA
FEMALE,ASIAN AND PACIFIC ISLANDER,SARAH
FEMALE,ASIAN AND PACIFIC ISLANDER,MIA
FEMALE,ASIAN AND PACIFIC ISLANDER,IVY
FEMALE,ASIAN AND PACIFIC ISLANDER,GRACE
FEMALE,ASIAN AND PACIFIC ISLANDER,NICOLE
FEMALE,ASIAN AND PACIFIC ISLANDER,VICKY
FEMALE,ASIAN AND PACIFIC ISLANDER,JASMINE
FEMALE,ASIAN AND PACIFIC ISLANDER,ANNA
FEMALE,ASIAN AND PACIFIC ISLANDER,ELAINE
FEMALE,ASIAN AND PACIFIC ISLANDER,ALICE
FEMALE,ASIAN AND PACIFIC ISLANDER,CATHERINE
FEMALE,ASIAN AND PACIFIC ISLANDER,CLAIRE
FEMALE,ASIAN AND PACIFIC ISLANDER,JENNY
FEMALE,ASIAN AND PACIFIC ISLANDER,MAYA
FEMALE,ASIAN AND PACIFIC ISLANDER,ALYSSA
FEMALE,ASIAN AND PACIFIC ISLANDER,ANGELINA
FEMALE,ASIAN AND PACIFIC ISLANDER,IRIS
FEMALE,ASIAN AND PACIFIC ISLANDER,JESSICA
FEMALE,ASIAN AND PACIFIC ISLANDER,SELINA
FEMALE,ASIAN AND PACIFIC ISLANDER,TENZIN
FEMALE,ASIAN AND PACIFIC ISLANDER,ALINA
FEMALE,ASIAN AND PACIFIC ISLANDER,ELLA
FEMALE,ASIAN AND PACIFIC ISLANDER,SOPHIE
FEMALE,ASIAN AND PACIFIC ISLANDER,WINNIE
FEMALE,ASIAN AND PACIFIC ISLANDER,ZOE
FEMALE,ASIAN AND PACIFIC ISLANDER,ABIGAIL
FEMALE,ASIAN AND PACIFIC ISLANDER,AMY
FEMALE,ASIAN AND PACIFIC ISLANDER,FATIMA
FEMALE,ASIAN AND PACIFIC ISLANDER,JULIA
FEMALE,ASIAN AND PACIFIC ISLANDER,SARA
FEMALE,ASIAN AND PACIFIC ISLANDER,AVA
FEMALE,ASIAN AND PACIFIC ISLANDER,HANNAH
FEMALE,ASIAN AND PACIFIC ISLANDER,SABRINA
FEMALE,ASIAN AND PACIFIC ISLANDER,ZAINAB
FEMALE,ASIAN AND PACIFIC ISLANDER,AMANDA
FEMALE,ASIAN AND PACIFIC ISLANDER,ANGEL
FEMALE,ASIAN AND PACIFIC ISLANDER,EVA
FEMALE,ASIAN AND PACIFIC ISLANDER,JOYCE
FEMALE,ASIAN AND PACIFIC ISLANDER,KAREN
FEMALE,ASIAN AND PACIFIC ISLANDER,KELLY
FEMALE,ASIAN AND PACIFIC ISLANDER,SAMANTHA
FEMALE,ASIAN AND PACIFIC ISLANDER,STEPHANIE
FEMALE,ASIAN AND PACIFIC ISLANDER,VICTORIA
FEMALE,ASIAN AND PACIFIC ISLANDER,KATHERINE
FEMALE,ASIAN AND PACIFIC ISLANDER,KAYLA
FEMALE,ASIAN AND PACIFIC ISLANDER,NINA
FEMALE,ASIAN AND PACIFIC ISLANDER,ANNIE
FEMALE,ASIAN AND PACIFIC ISLANDER,CHRISTINA
FEMALE,ASIAN AND PACIFIC ISLANDER,IRENE
FEMALE,ASIAN AND PACIFIC ISLANDER,KAYLEE
FEMALE,ASIAN AND PACIFIC ISLANDER,NATALIE
FEMALE,ASIAN AND PACIFIC ISLANDER,SHARON
FEMALE,ASIAN AND PACIFIC ISLANDER,AUDREY
FEMALE,ASIAN AND PACIFIC ISLANDER,ERICA
FEMALE,ASIAN AND PACIFIC ISLANDER,MADISON
FEMALE,ASIAN AND PACIFIC ISLANDER,SOFIA
FEMALE,ASIAN AND PACIFIC ISLANDER,ZAHRA
FEMALE,ASIAN AND PACIFIC ISLANDER,EILEEN
FEMALE,ASIAN AND PACIFIC ISLANDER,JENNIFER
FEMALE,ASIAN AND PACIFIC ISLANDER,JESSIE
FEMALE,ASIAN AND PACIFIC ISLANDER,KATIE
FEMALE,ASIAN AND PACIFIC ISLANDER,PHOEBE
FEMALE,ASIAN AND PACIFIC ISLANDER,RACHEL
FEMALE,ASIAN AND PACIFIC ISLANDER,XIN
FEMALE,ASIAN AND PACIFIC ISLANDER,ALLISON
FEMALE,ASIAN AND PACIFIC ISLANDER,AYESHA
FEMALE,ASIAN AND PACIFIC ISLANDER,EVELYN
FEMALE,ASIAN AND PACIFIC ISLANDER,MARYAM
FEMALE,ASIAN AND PACIFIC ISLANDER,MILA
FEMALE,ASIAN AND PACIFIC ISLANDER,SERENA
FEMALE,ASIAN AND PACIFIC ISLANDER,BELLA
FEMALE,ASIAN AND PACIFIC ISLANDER,HAILEY
FEMALE,ASIAN AND PACIFIC ISLANDER,LEAH
FEMALE,ASIAN AND PACIFIC ISLANDER,LILLIAN
FEMALE,ASIAN AND PACIFIC ISLANDER,SYEDA
FEMALE,ASIAN AND PACIFIC ISLANDER,WENDY
FEMALE,ASIAN AND PACIFIC ISLANDER,ARIANA
FEMALE,ASIAN AND PACIFIC ISLANDER,ELIZABETH
FEMALE,ASIAN AND PACIFIC ISLANDER,JOCELYN
FEMALE,ASIAN AND PACIFIC ISLANDER,LILY
FEMALE,ASIAN AND PACIFIC ISLANDER,QUEENIE
FEMALE,ASIAN AND PACIFIC ISLANDER,VANESSA
FEMALE,ASIAN AND PACIFIC ISLANDER,AMELIA
FEMALE,ASIAN AND PACIFIC ISLANDER,ANIKA
FEMALE,ASIAN AND PACIFIC ISLANDER,CHARLOTTE
FEMALE,ASIAN AND PACIFIC ISLANDER,CINDY
FEMALE,ASIAN AND PACIFIC ISLANDER,CYNTHIA
